ID,MS,NMSP,VE
10138,0.740543319,69.06684288,8.645080764
10139,0.655318761,61.95551913,6.300364299
10140,0.716266667,68.49346667,9.411333333
10141,0.516614509,41.38566145,7.13371266
10142,0.666901042,53.57984375,6.180729167
10143,0.742664298,81.97357016,7.178685613
10144,0.548045113,28.89518797,5.506766917
10145,0.741226415,61.33311321,5.845754717
10146,0.710733945,63.89458716,6.310550459
10147,0.698774834,61.73557947,7.406788079
10148,0.591802773,46.09557781,6.034206471
10149,0.745802752,78.93614679,7.401605505
10150,0.747339149,75.65093784,6.814176663
10151,0.740077519,80.77728682,7.68372093
10152,0.727511013,66.74852423,8.434911894
10153,0.739189189,65.19903904,8.292192192
10154,0.723159341,57.39759615,7.694093407
10156,0.730353698,68.82073955,7.771382637
10157,0.727387387,51.33153153,6.121621622
10158,0.750354767,65.5268847,7.213858093
10159,0.734269663,70.75179775,5.76741573
10161,0.718717532,54.72282468,6.223214286
10162,0.743049242,68.45518939,7.082007576
10163,0.739963054,67.80197044,6.722660099
10164,0.730733333,40.25811111,5.332222222
10165,0.665907781,52.36677233,5.262247839
10166,0.734397163,53.16470449,5.080378251
10167,0.728710526,64.08576316,7.197368421
10168,0.600216867,41.05028916,4.940240964
10169,0.732356557,57.74211066,7.410860656
10170,0.69274571,71.15271451,5.23775351
10171,0.713210332,65.55597786,5.523616236
10172,0.70975052,54.87031185,7.984199584
10173,0.731944444,44.55083333,5.549074074
10174,0.715336788,51.73259067,6.231088083
10175,0.700322581,24.68483871,3.867741935
10176,0.736963351,41.08395288,4.413350785
10177,0.698684211,41.25184211,3.572807018
10178,0.735012285,29.88366093,5.832186732
10179,0.726805556,40.78922222,4.877222222
10180,0.720980392,38.88913725,4.188235294
10181,0.609825871,27.39947761,5.842039801
10182,0.681932773,31.96728992,6.403781513
10183,0.708342697,49.19424157,6.383988764
10184,0.735931034,44.65689655,4.871724138
10185,0.723179487,39.70164103,5.531794872
10186,0.667557756,38.75267327,4.079207921
10187,0.478616352,14.4672956,2.022955975
10188,0.722156863,48.16023529,5.948627451
10189,0.595611111,43.08716667,5.604444444
10190,0.717237569,47.42370166,4.662983425
10191,0.720895522,36.02975124,5.114925373
10192,0.728393574,36.31574297,3.615261044
10193,0.685488372,48.45831008,5.881550388
10194,0.703665988,39.9710387,5.636659878
10195,0.74375,48.39007813,5.26796875
10196,0.656641604,42.87320802,5.271177945
